gene_type,feature,value
weight,Close,0.4705323161189642
weight,Volume,1.0
weight,SMA_20,0.15272312389894377
weight,SMA_50,0.0
weight,SMA_200,0.5104299184986838
weight,RSI,0.7026095346002978
weight,MACD,1.0
weight,Signal,0.7117700938145165
weight,BB_Upper,0.3416050943759582
weight,BB_Lower,0.48126078198971123
weight,Daily_Return,0.849066552433922
weight,Volume_Change,1.0
weight,ATR,0.3328803616075669
weight,OBV,0.03495893909766812
weight,VWAP,0.5790667103597792
weight,Williams_R,0.8282048937990817
weight,Stoch_K,0.0
threshold,Close,0.3328803616075669
threshold,Volume,0.03495893909766812
threshold,SMA_20,0.5790667103597792
threshold,SMA_50,0.8282048937990817
threshold,SMA_200,0.0
threshold,RSI,0.1742793128636479
threshold,MACD,0.12901705288519427
threshold,Signal,0.6
threshold,BB_Upper,0.22546842228537312
threshold,BB_Lower,0.5550820942128276
threshold,Daily_Return,0.57688874849282
threshold,Volume_Change,0.07358031903497461
threshold,ATR,0.25667008227379084
threshold,OBV,0.2891689518941945
threshold,VWAP,0.1989781997207362
threshold,Williams_R,0.3336859432466025
threshold,Stoch_K,0.5540684574989841
leverage,lev_0,0.25667008227379084
leverage,lev_1,0.2891689518941945
leverage,lev_2,0.1989781997207362
leverage,lev_3,0.3336859432466025
risk,risk_0,0.5540684574989841
risk,risk_1,0.42917011915316905
risk,risk_2,0.3174019782478471
risk,risk_3,0.06818566116733897
